"age","gender","marital_status","years_edu","educ_level","income_decile","religiosity","life_satisfaction","happiness","health_status","social_meetings","trust_people","value_safe","value_free","value_tradition","value_fun","attend_relig","pray_freq","social_activity","internet_use","internet_time"
74,2,NA,18,322,6,0,8,5,3,3,9,2,2,2,4,6,6,1,5,120
68,2,NA,11,422,8,7,10,9,1,5,7,3,2,2,3,4,3,4,4,90
36,2,6,13,423,6,0,9,9,1,5,8,2,2,2,3,7,7,3,4,180
87,1,NA,15,520,10,2,10,9,1,6,6,4,2,4,3,6,6,4,5,180
74,2,NA,8,212,5,8,8,8,2,5,8,2,2,2,3,3,2,3,1,NA
24,1,6,11,322,2,10,7,7,1,7,7,2,4,1,3,2,1,3,5,180
59,1,NA,12,322,6,3,7,7,3,5,7,2,2,1,4,7,3,3,5,120
21,2,6,NA,313,NA,0,8,10,1,6,4,2,1,5,2,7,7,3,5,240
32,1,6,13,322,7,2,8,8,1,5,5,1,3,3,1,6,6,2,5,120
47,2,4,13,423,3,5,8,8,2,5,7,2,2,2,3,6,NA,2,5,180
45,1,6,12,710,9,0,8,8,1,4,4,3,2,5,3,7,7,2,5,720
44,1,NA,13,423,8,4,8,7,2,4,8,1,1,1,2,6,2,3,5,300
68,1,4,13,322,2,8,8,8,2,6,4,3,1,1,1,5,4,4,5,60
20,1,6,9,322,1,0,5,5,2,7,4,2,1,5,1,7,7,3,5,300
33,1,NA,11,520,7,7,10,9,1,4,7,3,1,3,4,4,2,3,4,30
27,1,NA,12,322,5,6,10,9,1,6,8,3,2,3,4,3,2,3,5,120
28,1,6,11,322,2,4,6,7,1,5,7,1,2,3,3,7,NA,3,5,240
73,1,NA,12,322,10,8,8,9,2,5,5,1,1,2,2,4,1,4,5,60
62,1,6,12,322,4,4,9,9,2,4,8,2,2,4,3,6,6,3,5,150
58,1,4,12,322,6,3,9,8,2,6,8,1,1,2,5,5,2,3,5,90
90,2,4,16,720,NA,9,10,10,1,4,6,4,4,1,4,6,2,3,5,480
38,1,NA,13,423,7,5,8,8,2,5,7,2,2,1,5,6,2,3,5,510
85,2,5,9,212,NA,7,6,5,4,4,2,3,3,2,4,4,3,2,1,NA
74,2,6,11,322,7,6,4,4,2,3,5,1,1,2,4,6,1,2,4,60
42,1,6,20,720,9,0,9,9,2,4,8,2,2,4,3,7,7,3,5,0
51,2,4,18,610,3,1,6,7,3,3,5,2,2,4,3,7,7,2,4,300
76,1,NA,11,322,2,8,6,6,2,4,4,1,4,NA,4,6,2,2,5,150
70,2,NA,11,322,NA,6,7,7,2,5,5,1,3,2,4,5,NA,3,3,NA
28,1,6,12,322,1,0,5,5,3,1,5,1,1,5,2,7,7,1,5,930
18,1,6,11,212,10,5,10,10,1,7,8,3,2,1,1,4,2,3,5,60
64,1,5,12,322,2,0,5,5,5,6,3,2,1,1,2,7,7,2,1,NA
59,1,4,9,322,4,9,3,7,2,6,10,2,1,1,1,3,1,1,2,NA
49,2,NA,12,322,8,5,9,9,2,4,6,2,2,3,3,5,5,3,5,180
70,1,6,13,520,3,0,8,9,1,4,6,2,1,2,4,7,7,NA,5,120
71,2,5,12,322,2,5,8,8,3,6,8,2,2,3,3,7,4,3,5,60
58,1,6,17,610,1,2,4,6,4,2,8,2,1,4,2,7,6,2,1,NA
83,1,NA,14,322,NA,0,8,9,3,4,4,1,1,4,5,7,NA,NA,5,60
