"age","gender","marital_status","years_edu","educ_level","income_decile","religiosity","life_satisfaction","happiness","health_status","social_meetings","trust_people","value_safe","value_free","value_tradition","value_fun","attend_relig","pray_freq","social_activity","internet_use","internet_time"
56,2,4,12,322,4,0,10,10,3,6,7,1,1,2,1,7,7,4,5,780
35,2,6,18,720,9,3,9,8,1,5,9,4,1,4,3,7,6,2,5,270
34,2,6,11,322,3,5,5,10,2,4,3,2,2,2,2,7,7,3,5,360
52,1,6,23,720,9,3,7,6,2,4,5,2,2,3,2,5,7,2,5,420
21,1,6,13,212,2,3,7,7,1,6,3,2,3,2,2,6,6,3,5,180
66,2,5,19,800,9,1,8,8,2,6,7,2,1,3,3,6,7,4,5,90
33,2,6,16,610,4,1,5,7,1,6,4,2,2,3,1,7,7,3,5,120
37,1,6,13,423,5,2,4,7,1,5,6,2,1,4,2,5,7,2,5,240
24,1,6,9,322,2,10,8,7,2,6,6,1,2,1,2,3,1,3,5,180
25,2,6,10,212,2,5,8,8,2,6,9,1,3,4,3,5,5,1,5,150
74,2,5,4,113,2,0,5,5,3,5,0,2,1,2,3,5,3,4,4,60
31,2,6,12,322,5,3,6,6,2,4,8,2,1,3,1,6,7,2,5,60
52,2,4,13,423,3,1,8,10,1,6,8,1,1,1,1,6,5,3,5,420
20,1,6,14,313,3,1,8,9,1,6,9,1,1,6,1,6,6,4,5,300
75,1,5,12,322,4,0,0,0,5,6,0,1,1,6,1,7,7,2,5,45
24,2,6,18,423,1,9,8,8,2,4,4,1,1,1,2,4,4,3,5,360
20,2,6,14,313,2,1,8,9,1,6,7,1,2,4,2,7,7,4,5,330
24,2,6,12,322,2,0,7,7,2,6,4,3,2,5,2,7,7,4,5,120
26,2,6,12,322,2,0,8,8,2,6,5,3,3,6,3,7,7,2,5,420
28,2,6,18,710,5,10,9,9,1,6,6,1,1,1,1,3,3,4,5,240
64,2,4,13,313,5,5,8,9,2,4,8,1,1,1,2,6,1,2,5,90
49,2,4,12,322,7,4,8,8,2,5,8,1,1,1,2,6,1,2,5,150
61,1,4,11,322,5,6,9,9,1,4,3,2,1,4,4,6,6,2,5,30
30,2,6,9,322,3,6,7,7,1,6,5,1,2,1,3,5,3,3,5,210
76,2,5,12,423,3,2,8,9,2,4,6,1,2,4,6,5,5,3,5,60
58,1,6,13,322,4,2,9,9,2,4,3,2,2,4,2,6,7,3,5,0
18,1,6,9,322,7,4,7,7,2,6,7,2,2,3,2,5,7,3,5,120
47,2,4,13,313,5,5,7,8,2,4,7,1,1,1,3,5,1,2,5,270
60,2,4,10,322,2,7,10,9,2,7,6,1,1,2,2,4,2,4,5,60
72,1,1,14,520,3,8,6,5,3,5,4,2,1,2,3,5,5,3,5,240
42,2,4,12,313,7,7,10,10,1,5,9,2,2,3,2,5,5,3,5,180
65,2,5,11,322,4,6,8,8,2,4,7,1,1,1,2,4,1,4,5,120
43,1,4,16,520,9,5,9,5,2,5,8,4,1,2,1,6,1,2,5,120
56,1,6,12,322,6,8,8,10,3,7,4,1,3,2,3,3,2,2,5,30
22,2,6,15,313,1,0,10,10,1,6,8,5,1,6,1,7,7,2,5,300
60,1,4,15,610,10,5,8,8,2,6,8,1,1,1,2,6,1,3,5,240
27,1,6,11,322,3,0,7,7,1,6,6,2,2,3,3,7,7,3,5,300
60,2,4,12,212,2,5,8,9,3,4,5,2,1,4,3,7,7,3,5,10
58,1,4,13,322,7,0,7,8,3,4,3,1,1,5,3,7,7,2,5,150
39,2,4,4,113,3,8,9,8,2,3,5,2,2,2,2,5,2,2,5,240
51,1,6,12,322,1,0,7,7,1,4,2,1,1,3,3,7,6,1,4,90
47,1,6,18,720,3,2,9,8,1,5,7,1,2,4,2,5,2,2,5,120
74,2,4,12,322,7,4,9,9,3,5,2,1,1,6,1,5,4,3,4,30
57,1,4,13,322,4,0,7,8,1,6,2,4,2,2,2,7,7,3,5,120
74,1,5,15,322,4,7,7,8,3,3,3,1,2,2,3,7,1,2,5,60
31,1,6,16,213,2,10,0,10,1,5,0,1,1,1,1,7,7,2,5,300
42,1,4,15,610,7,3,8,8,2,4,8,3,2,5,2,6,6,3,5,480
72,2,4,12,322,2,4,8,8,2,5,6,1,1,2,5,4,1,4,5,165
56,2,4,12,322,3,0,9,9,1,5,8,2,2,3,2,7,7,3,5,60
29,2,6,12,322,1,3,6,7,3,5,6,1,1,3,3,7,7,2,5,120
52,1,6,12,322,2,2,7,8,2,5,5,2,1,2,2,7,7,3,5,120
37,2,6,13,322,2,10,7,6,2,5,5,1,1,6,1,7,1,4,5,120
62,1,4,12,322,3,7,8,8,1,6,5,3,2,3,2,4,2,4,5,45
45,1,6,20,620,5,2,6,5,1,5,7,2,1,4,3,7,6,3,5,180
71,2,6,22,720,3,4,9,8,1,6,8,2,1,3,3,3,6,3,5,180
56,2,6,11,322,4,3,10,10,2,6,9,2,1,2,2,6,7,4,5,90
49,2,4,15,322,6,8,5,6,3,6,5,1,2,1,1,5,1,3,4,120
75,1,5,14,322,5,5,9,9,2,4,4,1,2,2,3,6,1,4,5,60
57,1,6,10,322,6,3,10,10,2,6,5,1,3,1,2,6,7,2,5,150
23,1,6,11,322,2,10,8,8,1,6,6,3,2,1,2,3,1,4,5,240
69,2,6,12,422,6,3,7,7,3,4,6,1,1,1,4,7,2,2,5,60
43,1,6,20,720,9,3,9,9,1,7,7,4,3,4,2,7,6,3,5,360
48,2,4,18,322,6,2,8,8,2,6,7,2,1,4,4,5,5,3,5,90
24,1,6,12,423,9,9,10,8,1,6,7,2,3,2,3,5,1,3,5,300
65,1,4,12,322,2,3,8,7,2,7,8,2,2,2,3,7,5,3,5,90
50,1,4,12,322,7,4,9,8,2,6,8,1,1,3,4,5,5,3,5,90
26,1,6,18,423,7,3,9,9,1,4,9,2,1,4,2,5,6,2,5,480
43,2,6,12,322,1,4,9,8,2,5,5,1,1,1,1,7,7,3,5,60
37,2,4,9,322,3,10,8,8,1,6,3,1,2,1,2,3,1,4,5,300
70,2,5,16,610,2,2,8,8,2,5,7,2,2,4,5,7,6,3,5,90
58,1,6,9,212,1,0,5,5,3,6,1,2,2,2,2,7,7,1,5,120
58,2,4,12,322,3,0,8,8,3,6,3,1,1,1,2,7,7,3,5,180
29,2,6,11,322,5,6,8,7,1,5,7,1,3,3,3,7,4,3,5,300
27,2,6,12,313,5,2,6,9,1,6,9,2,1,2,3,5,5,3,5,540
57,1,6,10,322,1,4,1,2,4,5,6,2,1,5,3,6,6,2,5,180
64,2,6,12,322,2,3,7,6,3,4,2,1,1,3,3,6,4,4,5,30
29,2,6,12,322,8,7,7,7,2,6,6,2,3,2,2,7,7,4,5,300
59,1,4,12,322,9,0,9,9,2,5,7,3,3,2,3,6,6,3,5,240
27,1,6,9,322,6,3,6,7,1,6,5,2,1,3,2,6,6,4,5,180
21,1,6,13,313,2,0,7,7,2,5,8,3,1,4,5,7,7,2,5,360
67,1,6,18,710,6,3,9,8,1,6,10,1,1,4,1,7,7,2,5,120
37,2,6,11,322,4,3,9,10,2,6,6,3,1,3,3,6,6,3,5,180
30,1,6,20,720,8,1,9,9,1,4,4,3,2,5,3,6,7,2,5,360
42,1,4,9,720,7,0,8,8,2,6,10,2,1,6,3,7,1,3,5,420
49,2,4,17,520,6,7,9,8,2,6,8,3,1,5,3,7,7,4,5,180
